Project,Version,Base,Default,KNN,Linear,Logistic,Tree,Forest,XMeans,Base.Partitions,Default.Partitions,KNN.Partitions,Linear.Partitions,Logistic.Partitions,Tree.Partitions,Forest.Partitions,XMeans.Partitions
Closure,87,27.5,112.5,27.5,27.5,27.5,28.5,27.5,101.5,0,0,0,0,0,0,0,0
Closure,88,10.5,10.5,10.5,10.5,10.5,16.5,10.5,12.0,0,0,0,0,0,0,0,0
Closure,89,626,626,626,626,626,626,626,11.5,0,0,0,0,0,0,0,1
Closure,9,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0
Closure,90,295.5,47.0,295.5,295.5,296.5,340.0,295.5,380.0,0,3,0,0,0,0,0,1
Closure,91,59.0,22.5,59.0,59.0,60.0,77.0,59.0,24.5,0,1,0,0,0,0,0,1
Closure,92,38.5,128.5,38.5,38.5,38.5,5.0,38.5,113.5,0,0,0,0,0,1,0,0
Closure,93,38.5,128.5,38.5,38.5,38.5,5.0,38.5,113.5,0,0,0,0,0,1,0,0
Closure,94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0
Closure,95,239.0,331.0,239.0,239.0,239.0,259.5,239.0,302.0,0,0,0,0,0,0,0,0
Closure,96,18.0,169.0,18.0,18.0,23.0,18.0,18.0,125.0,0,0,0,0,0,0,0,0
Closure,97,5.0,5.0,5.0,5.0,5.0,10.0,5.0,8.0,0,0,0,0,0,0,0,0
Closure,98,124.0,207.0,124.0,124.0,124.0,140.0,124.0,189.5,0,0,0,0,0,0,0,0
Closure,99,26.0,25.5,26.0,26.0,26.0,338,26.0,27.0,0,1,0,0,0,0,0,1
